Date,sigma_p_pct,VaR_95,VaR_99,CVaR_95,CVaR_99,actual_return_decimal,actual_pnl,actual_loss
2023-11-10,0.7278472620944743,119723.59614192008,169319.10858103752,150133.0547522272,193985.8522934193,0.0021682096192697214,21682.096192697212,-21682.096192697212
2023-11-13,0.717331570302323,117993.8699990291,166872.84319942936,147963.98300626015,191183.21011697513,-0.0013503210765938142,-13503.210765938142,13503.210765938142
2023-11-15,0.7070437097565597,116301.61981785651,164479.57820066847,145841.90601148555,188441.2895243183,0.01071280069073471,107128.00690734711,-107128.00690734711
2023-11-16,0.7279823942542273,119745.82403087785,169350.54437536089,150160.92846281946,194021.86771663665,0.007645393979989464,76453.93979989464,-76453.93979989464
2023-11-17,0.7453650231885646,122605.09266428697,173394.26534435575,153746.44333310518,198654.68598021622,-0.004981473477782186,-49814.73477782186,49814.73477782186
2023-11-20,0.7567991826543192,124485.89755480897,176054.19386087428,156104.9674061064,201702.11816102915,-0.0016720248476741783,-16720.248476741785,16720.248476741785
2023-11-21,0.7439338894395362,122369.6854739093,173061.3407003193,153451.24337469312,198273.26021342518,0.003103334807866885,31033.348078668852,-31033.348078668852
2023-11-22,0.7323388146586333,120462.41162319858,170363.97845403783,151059.52729963628,195182.94088281895,0.0028053229052047426,28053.229052047427,-28053.229052047427
2023-11-23,0.7213339410070152,118652.21995624393,167803.91469646196,148789.55201151705,192249.92195718968,-0.000986962079817507,-9869.62079817507,9869.62079817507
2023-11-24,0.709277224865916,116669.01071819454,164999.16082055803,146302.6131730925,189036.56597126395,-0.0029325323246812357,-29325.323246812357,29325.323246812357
2023-11-28,0.7060401544047114,116136.54499803098,164246.121119168,145634.9026490598,188173.82195194368,0.0038382220214484854,38382.220214484856,-38382.220214484856
2023-11-29,0.7031461880838534,115660.51647791306,163572.89773394683,145037.96421605643,187402.52204810863,0.010346943308850743,103469.43308850743,-103469.43308850743
2023-11-30,0.7171744118553017,117968.01900607858,166836.28342989882,147931.56593339308,191141.32424767502,0.004026911593595885,40269.11593595886,-40269.11593595886
2023-12-01,0.7170830531336904,117952.99140996073,166815.0306504904,147912.7213698863,191116.97532119116,0.0063071501661040716,63071.50166104072,-63071.50166104072
2023-12-04,0.7214277976119698,118667.65842919293,167825.74855847255,148808.91181342103,192274.93661954222,0.014456474084828088,144564.74084828087,-144564.74084828087
2023-12-05,0.7631415290902627,125529.15012005731,177529.61391226779,157413.20320544846,203392.4803331368,0.0020574727584215568,20574.72758421557,-20574.72758421557
2023-12-06,0.7611555308780886,125202.47327413679,177067.61114816973,157003.5513542233,202863.17208962818,0.005784939903234879,57849.39903234879,-57849.39903234879
2023-12-07,0.7712753243763221,126867.07810666121,179421.77870966378,159090.96115910393,205560.29945277734,-0.0032790833684822563,-32790.833684822566,32790.833684822566
