date,daily_loss,var95,var99,hit95,hit99,rolling_breach95,rolling_breach99,uce95
2019-06-13,361.19399967571513,140645.04403762156,198907.2684933546,0,0,0.016666666666666666,0.0,0.03333333333333334
2019-06-14,53269.74090545763,137459.4566504237,194402.05119209716,0,0,0.016666666666666666,0.0,0.03333333333333334
2019-06-17,131340.6639170688,136219.4967964765,192648.4378367337,0,0,0.016666666666666666,0.0,0.03333333333333334
2019-06-18,-16192.039796186633,139912.39155643864,197871.1146438952,0,0,0.016666666666666666,0.0,0.03333333333333334
2019-06-19,16706.966206924284,139231.16087134785,196907.68407502977,0,0,0.016666666666666666,0.0,0.03333333333333334
2019-06-20,-115627.63360930135,137226.06744731462,194071.98048677,0,0,0.016666666666666666,0.0,0.03333333333333334
2019-06-21,103833.78879370535,140112.23485426788,198153.74304911145,0,0,0.016666666666666666,0.0,0.03333333333333334
2019-06-24,48735.59362786414,140292.28582397275,198408.38015217203,0,0,0.016666666666666666,0.0,0.03333333333333334
2019-06-25,-81113.37198325606,140239.04243839654,198333.0806884563,0,0,0.016666666666666666,0.0,0.03333333333333334
2019-06-26,-60896.94167640913,138685.8446215506,196136.47051073817,0,0,0.016666666666666666,0.0,0.03333333333333334
2019-06-27,3520.195857411358,138372.76434384828,195693.69669468916,0,0,0.016666666666666666,0.0,0.03333333333333334
2019-06-28,27599.342667375855,136285.4361753681,192741.6926103464,0,0,0.016666666666666666,0.0,0.03333333333333334
2019-07-01,-40432.41773516993,134794.3297409692,190632.89517685975,0,0,0.016666666666666666,0.0,0.03333333333333334
2019-07-02,-19888.060446470714,139561.21712667632,197374.46616924257,0,0,0.016666666666666666,0.0,0.03333333333333334
2019-07-03,15788.837153574501,135927.7602448726,192235.84938759016,0,0,0.016666666666666666,0.0,0.03333333333333334
2019-07-04,-18230.174589452505,132509.95340508118,187402.21570079657,0,0,0.016666666666666666,0.0,0.03333333333333334
2019-07-05,164613.5952600894,128805.84214467603,182163.67595669028,1,0,0.03333333333333333,0.0,0.01666666666666667
2019-07-08,250290.2335489082,136394.76488813863,192896.3107540135,1,1,0.05,0.016666666666666666,0.0
2019-07-09,-47834.19413141844,158233.59762747184,223781.88227903683,0,0,0.05,0.016666666666666666,0.0
2019-07-10,59990.34245872648,159597.89163545918,225711.3352249794,0,0,0.05,0.016666666666666666,0.0
2019-07-11,-67498.67781624928,158891.695714924,224712.59756923077,0,0,0.05,0.016666666666666666,0.0
2019-07-12,67739.22528088721,157940.6538242412,223367.58647415176,0,0,0.05,0.016666666666666666,0.0
2019-07-15,-96506.47753802351,156336.16173074377,221098.43336022203,0,0,0.05,0.016666666666666666,0.0
2019-07-16,-83733.59855108485,159424.49819687603,225466.113536016,0,0,0.05,0.016666666666666666,0.0
2019-07-17,16418.565056399286,157111.51036808064,222194.97025306456,0,0,0.05,0.016666666666666666,0.0
2019-07-18,93728.32988494447,152851.18476693612,216169.80431839224,0,0,0.05,0.016666666666666666,0.0
2019-07-19,139579.9885489632,156264.14742227114,220996.58711680307,0,0,0.05,0.016666666666666666,0.0
2019-07-22,-13976.181850112853,158650.23258823412,224371.10831662043,0,0,0.05,0.016666666666666666,0.0
2019-07-23,3084.020302392072,159347.64474913245,225357.42353936823,0,0,0.05,0.016666666666666666,0.0
2019-07-24,67268.7411143497,156136.0627644871,220815.44337590513,0,0,0.05,0.016666666666666666,0.0
2019-07-25,-10273.623806760499,154938.19337442756,219121.35646357277,0,0,0.05,0.016666666666666666,0.0
2019-07-26,-63830.3089507375,154623.3806945211,218676.1325975223,0,0,0.05,0.016666666666666666,0.0
2019-07-29,74353.24231276115,156206.0892393743,220914.4783254644,0,0,0.05,0.016666666666666666,0.0
2019-07-30,88470.09026843357,157487.94732679144,222727.34626197023,0,0,0.05,0.016666666666666666,0.0
2019-07-31,-7015.7777725315655,159852.02024752714,226070.73664163312,0,0,0.05,0.016666666666666666,0.0
2019-08-01,57480.133601034635,156797.67243591973,221751.12492411703,0,0,0.05,0.016666666666666666,0.0
2019-08-02,15111.935957771282,156828.54601796283,221794.78789080607,0,0,0.05,0.016666666666666666,0.0
2019-08-05,109831.63595205583,154787.72952900728,218908.56295417936,0,0,0.05,0.016666666666666666,0.0
2019-08-06,-61549.91812330034,156473.5810724349,221292.77867882865,0,0,0.03333333333333333,0.016666666666666666,0.01666666666666667
2019-08-07,36165.82749115249,156340.984332986,221105.25372595616,0,0,0.03333333333333333,0.016666666666666666,0.01666666666666667
2019-08-08,-155559.7150385557,154352.02876048995,218292.37309594973,0,0,0.03333333333333333,0.016666666666666666,0.01666666666666667
2019-08-09,-63301.955271867504,156610.1269604619,221485.88871549792,0,0,0.03333333333333333,0.016666666666666666,0.01666666666666667
2019-08-13,134189.6978200962,156618.15578765783,221497.24348521396,0,0,0.03333333333333333,0.016666666666666666,0.01666666666666667
2019-08-14,-10734.424086427998,172754.13141234397,244317.54872912375,0,0,0.03333333333333333,0.016666666666666666,0.01666666666666667
2019-08-16,-25123.627549363846,172632.27571635856,244145.2142981123,0,0,0.03333333333333333,0.016666666666666666,0.01666666666666667
2019-08-19,-35918.520992865284,168386.01685670062,238139.94225408387,0,0,0.03333333333333333,0.016666666666666666,0.01666666666666667
2019-08-20,-8916.41804917921,164558.7494189268,232727.22887303145,0,0,0.03333333333333333,0.016666666666666666,0.01666666666666667
2019-08-21,72904.91174525,164441.8812895263,232561.9481085932,0,0,0.03333333333333333,0.016666666666666666,0.01666666666666667
2019-08-22,96152.47653927348,163513.5411205647,231249.04292587368,0,0,0.03333333333333333,0.016666666666666666,0.01666666666666667
2019-08-23,-78569.4407814473,165932.77628570466,234670.44651555395,0,0,0.03333333333333333,0.016666666666666666,0.01666666666666667
2019-08-26,-137913.89483680134,164311.66191832605,232377.78534901928,0,0,0.03333333333333333,0.016666666666666666,0.01666666666666667
2019-08-27,-2481.913405951571,168429.0184809478,238200.75730575036,0,0,0.03333333333333333,0.016666666666666666,0.01666666666666667
2019-08-28,88881.98840247456,165664.2432591519,234290.67365418267,0,0,0.03333333333333333,0.016666666666666666,0.01666666666666667
2019-08-29,15496.795054881783,165705.91806318332,234349.6122502178,0,0,0.03333333333333333,0.016666666666666666,0.01666666666666667
2019-08-30,-110021.05714759293,164266.43026514535,232313.81647869633,0,0,0.03333333333333333,0.016666666666666666,0.01666666666666667
2019-09-03,187321.01594692137,163826.94983332793,231692.2812312425,1,0,0.05,0.016666666666666666,0.0
2019-09-04,-19095.62439235507,169109.05599010133,239162.5004254196,0,0,0.05,0.016666666666666666,0.0
2019-09-05,-70471.30664111658,169000.264635353,239008.6422403925,0,0,0.05,0.016666666666666666,0.0
2019-09-06,-91879.32529425842,169738.47927911035,240052.66237886465,0,0,0.05,0.016666666666666666,0.0
2019-09-09,-62410.799408425286,167423.82213504368,236779.15826661323,0,0,0.05,0.016666666666666666,0.0
2019-09-11,34435.08401467986,163024.14466612242,230556.9139381121,0,0,0.05,0.016666666666666666,0.0
