date,AXISBANK,BAJFINANCE,DRREDDY,HDFCBANK,HINDUNILVR,ICICIBANK,INFY,ITC,MARUTI,ONGC,RELIANCE,SUNPHARMA,TCS,WIPRO
2019-03-13,10145.907027003263,12306.023652993646,8299.89138632262,7982.50764457435,5795.924797952368,12816.365262176998,9568.797125487197,6692.737891583686,10484.37712891972,11860.39473693071,11415.338400356433,11957.432859304863,9334.1558504401,14763.080931714925
2019-03-14,10088.267438556713,13044.34667199739,7446.751334496676,9106.767823815371,5725.41703332787,12549.591597466931,9308.159831590654,6602.060640850032,10298.653773711587,11706.809324443539,11278.387542143888,12183.422590978127,9125.20599748539,14258.334186521859
2019-03-15,9935.945486014645,12821.339774725726,7123.010805947428,8817.526636906736,5645.030520398065,12342.352727822636,9128.233711853503,6519.228085506335,10017.694044870592,11333.30475195588,10998.894620314946,12156.922597735047,8995.513973916964,13674.800875925142
2019-03-18,9797.093920369687,12977.286606867874,6972.975605960878,8862.291726026506,6408.713034714052,12446.832221071496,9346.305374433585,6628.488436807376,9682.080665723166,12074.003425864057,10903.9673714688,11745.732657193914,9530.896362903251,14051.032393164589
2019-03-19,9705.146275307685,13381.924574606239,6901.039792660076,8596.396145113104,6145.105591063243,12060.496332870833,9431.216283137519,6603.870892616443,10410.142899163779,11701.898439227145,11183.797756710974,11436.737736948726,9397.937764339636,14134.899099919094
2019-03-20,9724.771958695032,12961.873986165856,7838.465362826247,8318.759378597622,5924.453913618252,11594.519427744024,9722.477068980483,7024.218219009581,10137.598637979087,11526.034465307703,11433.377273425373,11290.847902163472,9165.267377111244,13495.838594878525
2019-03-22,9656.490090885647,13099.214265117627,8174.1826523152895,8385.383536588906,5794.136619429719,11574.363352069984,10174.950457550623,6868.130249736395,10517.285861196722,13012.458771333017,11081.28240393816,11047.118132664546,8968.49713428451,13210.917469826853
2019-03-25,9516.124243679642,13045.57453068429,7265.658936653969,8445.470833320669,5700.322438142945,11246.077544006108,9831.038432848534,6784.869807166577,10748.608487456062,12463.988749800765,11744.46419206641,10774.527982493628,8824.376944886979,12689.005179369608
2019-03-26,9894.426811181575,12671.136334856423,7332.177883895965,8160.2388958931815,5494.867176570408,11812.77951494422,9758.020779416427,6836.554467785259,10431.141709970207,13440.264253141237,11654.721416545854,10816.602895469998,8765.527001595365,12588.15032675964
2019-03-27,9935.899726455677,13741.440834573299,6821.134966716193,8397.507251252695,5428.564745268584,12788.573052624495,9499.678274395723,6696.522815809172,10269.877785607108,13104.308498960583,12798.592423993941,10599.867678169701,8494.686127051027,11996.566020152392
2019-03-28,9765.09642774159,13370.645269276816,6933.44025963841,8241.786098419143,5313.9924049033925,12359.840642435858,9253.663013506079,6603.101019785555,10157.893304034998,12529.7875716821,12658.943829263175,10517.39767585784,8438.416679517242,11608.278902125
2019-04-01,9991.004927594586,13397.37221192657,8021.205178176512,7954.530101296098,5185.0929728725205,12484.694798293767,9202.971739689676,7202.5064322332555,10064.54711388091,12897.058892924746,12298.896072416803,10754.90617069383,8555.320685147355,11170.058628863446
2019-04-02,10218.931209030829,12839.625784559847,10324.837236938729,7702.4444822848645,5136.702111879101,11884.524965881972,9966.510015183441,6980.23495195517,11676.259574077278,12275.102395614647,12612.57346319066,10564.03306525017,8737.067244388963,12083.044941186108
2019-04-03,10113.07932454301,13043.656592464617,8023.749197857384,7688.24365913694,5042.790836380147,11576.357134909924,9747.770880822643,6905.523298864166,11427.360441563867,11803.913116020998,12250.734020804186,10513.17273025149,9135.439301183103,11689.51687913542
2019-04-04,10099.65110252343,12728.821189348851,7870.068796565822,7502.691560130545,5227.62883694202,11562.22818113426,9612.089933568377,6858.370746419579,11804.613033527789,11665.440359536262,12050.031640241466,10550.221832731842,8919.063456742406,11277.399381598152
2019-04-05,9907.931709695249,12420.65414978047,7069.697104639276,7391.776122788575,5146.153350548516,11350.449848927592,9583.262292223802,6786.399013357784,11422.290908302672,11183.769213256777,12108.489172964151,10261.377816862927,9922.165645382785,11216.968524900176
2019-04-08,9724.392370817033,13030.382988247924,6944.606163334596,7462.834845925419,5082.836386565023,11000.967078498272,9776.354907645447,6659.784919003038,11034.618640780038,10826.416334212387,11716.740355431017,10007.575427808071,10006.160025475978,11166.176574761352
2019-04-09,9819.451002786122,14063.767600001798,6705.347672875865,7476.712910311036,5014.717436363464,10868.45842089871,9621.93267678881,6625.937648806307,10685.875814057275,10494.529066078756,11888.64115828213,9755.174024441738,9806.206086462182,10856.229213584575
2019-04-10,9715.630205141906,13564.412183263628,6641.428362456491,7266.461150538493,5192.060269601448,11712.577878435159,9516.170076756289,6716.139476296827,10555.021686761342,10026.054559781676,11474.835479108184,9818.907110236638,9762.032819417182,12978.976097138262
2019-04-11,9565.930585810911,13203.50772046789,6597.399218433836,8351.278328459697,5224.16198138097,11434.875626411887,9614.167627837181,6641.557004476736,10237.039956197703,9624.281597198678,11128.319746933095,9550.42331916062,10257.446282736819,13403.23122771363
2019-04-12,9646.055528979417,13178.24564453554,7746.84312915281,8257.430182169292,5355.253268923934,11245.43680808546,9716.033941480271,6562.570889824152,9910.405257455841,9300.065736998613,10979.440395896656,9532.838559009328,10082.929760858853,12866.867376941225
2019-04-15,9683.5322526293,13050.698016395649,6942.551473178442,8065.281432012367,5370.078498912046,11155.160438819512,9501.111750333672,7678.347158578693,10361.467682526676,9068.533986639088,10671.583882849573,9284.873695107706,9790.169252269152,12424.439612161317
2019-04-16,9434.85333046849,12633.676944594064,6776.670715419454,8025.918547889832,5234.385232132033,10735.329867654438,10766.399456464826,7444.661096908366,9981.387056583908,8835.639699835849,10340.203052840985,9184.411491253635,11674.088484301037,12493.982896606363
2019-04-18,9419.157305072911,12299.694492571083,7153.4916208070745,7933.704075878462,5372.590772911093,12687.432135512488,10290.551501055,7319.202439982583,10022.845612297395,9491.593485249825,10058.015397216774,9040.950423000873,11325.974491337463,12671.675514555109
2019-04-22,9270.937250618443,12067.206250731386,7174.181151894375,7798.400329658907,5260.621287797262,12314.043094737557,10128.801420574859,7272.107170482634,9730.887086452065,9219.063528350154,11157.519859505905,8850.490755565233,11060.090153328065,12469.581539620029
2019-04-23,10202.936431359387,11930.859071370693,6685.347810839711,7998.069480448459,5099.598881500722,13209.936554185704,9650.465436709763,7275.078952322331,9980.493011908671,9649.923004741891,12251.783766421293,9045.456964297928,10569.143735673411,11936.89463463546
2019-04-24,9995.815262907545,11951.360452479788,6909.055803167276,7954.963270288908,5016.705016156003,12729.692210961815,9447.948811607754,7147.602052002978,11356.058838354584,11037.69513946195,12130.31793866949,9612.453465157429,10172.289563113327,11595.193608014699
2019-04-25,9765.019676127153,12275.991051218472,7406.604461199192,8319.061466990695,5009.496532053472,12491.358579774682,9402.616164987649,7152.554701817155,10905.035986706456,11786.607895995903,12299.56047521989,9360.789551806156,10068.60206425876,11254.64801328636
2019-04-26,10157.590635570394,11958.641489302745,8798.578757140998,8210.71725823779,5267.763548109335,12456.646910531577,9416.408075109788,7106.301306072922,10925.09673865439,11233.917765041626,12119.099322592394,9559.357439456684,9756.16385132142,10916.752804098634
2019-04-30,10389.870270683936,11753.801883686863,7773.356997604764,8165.5334636801035,5326.260496041351,13562.154194906358,9475.681071612808,6984.037081557858,10632.618552834554,10773.660534287119,12086.09165331234,9347.022120837044,9935.416819206901,10566.089555624323
2019-05-02,10232.372149874784,11472.574331193191,7679.411287082958,8500.010424711023,5322.266130436779,13050.106014492538,9761.749067162837,6973.512257952672,11112.148538315569,10377.306663690299,11688.652439463382,9261.833603922973,9808.171414904844,10568.30717475827
